INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico,,,,,,,,,,,,,,,,,
Fecha de elaboración: 24/05/2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Población total por entidad federativa, sexo y grupos quinquenales de edad según tamaño de localidad",,,,,,,,,,,,,,,,,Población 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Entidad federativa,Sexo,Grupos quinquenales de edad,Población total1,Tamaño de localidad,,,,,,,,,,,,,
,,,,1-249 habitantes,250-499 habitantes,500-999 habitantes,1 000-2 499 habitantes,2 500-4 999 habitantes,5 000-9 999 habitantes,10 000-14 999 habitantes,15 000-29 999 habitantes,30 000-49 999 habitantes,50 000-99 999 habitantes,100 000-249 999 habitantes,250 000-499 999 habitantes,500 000-999 999 habitantes,1 000 000 y más habitantes
,,,,,,,,,,,,,,,,,
30 Veracruz de Ignacio de la Llave,Total,25-29 años,"557,762","43,126","44,731","52,723","57,463","41,746","40,197","29,447","42,253","39,933","27,576","72,890","65,677",0,0
30 Veracruz de Ignacio de la Llave,Total,30-34 años,"539,685","42,932","44,545","53,233","57,448","40,135","38,915","27,763","40,429","38,039","26,907","67,836","61,503",0,0
30 Veracruz de Ignacio de la Llave,Total,35-39 años,"542,754","43,682","44,554","53,101","56,619","39,298","38,583","27,396","39,995","37,783","27,206","71,162","63,375",0,0
30 Veracruz de Ignacio de la Llave,Total,40-44 años,"486,810","38,854","39,666","46,803","49,566","34,307","34,192","24,177","36,548","34,581","25,039","64,270","58,807",0,0
30 Veracruz de Ignacio de la Llave,Total,45-49 años,"424,845","34,521","34,409","40,488","42,640","29,772","29,256","20,431","31,746","30,092","21,638","57,876","51,976",0,0
30 Veracruz de Ignacio de la Llave,Total,50-54 años,"365,591","29,990","29,114","34,216","35,010","24,768","24,594","16,915","27,571","26,224","18,510","51,520","47,159",0,0
30 Veracruz de Ignacio de la Llave,Total,55-59 años,"298,171","25,982","25,173","29,676","29,887","19,955","19,581","13,069","21,600","20,422","14,902","40,776","37,148",0,0
30 Veracruz de Ignacio de la Llave,Total,60-64 años,"239,698","22,295","21,058","24,272","24,182","15,638","14,722","10,049","17,225","16,507","11,880","32,707","29,163",0,0
30 Veracruz de Ignacio de la Llave,Total,65-69 años,"183,836","18,311","17,541","20,214","19,482","12,318","11,377","7,621","12,655","11,891","8,764","23,528","20,134",0,0
30 Veracruz de Ignacio de la Llave,Total,70-74 años,"155,346","16,008","15,254","17,221","17,018","10,820","9,748","6,530","10,657","10,003","6,976","19,369","15,742",0,0
30 Veracruz de Ignacio de la Llave,Total,75-79 años,"100,119","10,059","9,441","10,804","10,463","6,870","6,463","4,189","6,730","6,618","4,622","12,859","11,001",0,0
30 Veracruz de Ignacio de la Llave,Total,80-84 años,"62,627","5,954","5,571","6,458","6,412","4,290","3,915","2,542","4,247","4,235","2,981","8,569","7,453",0,0
30 Veracruz de Ignacio de la Llave,Total,85-89 años,"35,565","3,586","3,313","3,828","3,780","2,464","2,219","1,431","2,408","2,379","1,599","4,586","3,972",0,0
30 Veracruz de Ignacio de la Llave,Total,90-94 años,"13,213","1,330","1,298","1,424","1,480",918,814,486,834,848,623,"1,654","1,504",0,0
30 Veracruz de Ignacio de la Llave,Total,95-99 años,"5,967",646,612,742,736,487,356,226,399,366,261,623,513,0,0
30 Veracruz de Ignacio de la Llave,Total,100 años y más,"2,186",312,291,331,328,150,115,59,118,126,79,169,108,0,0
30 Veracruz de Ignacio de la Llave,Total,No especificado,"94,957","1,581","1,210","2,564","2,790","2,963","5,469","3,531","7,305","6,050","6,550","18,915","36,029",0,0
30 Veracruz de Ignacio de la Llave,Hombres,Total,"3,695,679","338,550","343,048","393,740","402,231","268,960","255,680","178,857","260,436","248,729","173,093","433,777","398,578",0,0
30 Veracruz de Ignacio de la Llave,Hombres,00-04 años,"335,899","31,636","33,236","38,603","38,489","26,135","24,147","17,612","23,188","22,997","15,170","34,272","30,414",0,0
30 Veracruz de Ignacio de la Llave,Hombres,05-09 años,"369,775","35,940","38,191","43,342","43,142","28,452","26,019","18,215","25,244","24,424","16,455","37,048","33,303",0,0
30 Veracruz de Ignacio de la Llave,Hombres,10-14 años,"376,924","38,049","40,521","45,292","44,682","28,357","26,303","18,029","24,758","24,816","16,295","36,601","33,221",0,0
30 Veracruz de Ignacio de la Llave,Hombres,15-19 años,"381,351","37,575","38,780","43,709","43,392","28,324","26,683","18,414","25,903","25,127","16,738","39,660","37,046",0,0
30 Veracruz de Ignacio de la Llave,Hombres,20-24 años,"307,562","24,984","26,161","30,194","32,248","22,434","22,103","15,933","22,537","21,347","14,798","38,272","36,551",0,0
30 Veracruz de Ignacio de la Llave,Hombres,25-29 años,"259,153","20,424","20,923","24,482","26,806","19,324","18,670","13,564","19,300","18,440","12,678","33,854","30,688",0,0
30 Veracruz de Ignacio de la Llave,Hombres,30-34 años,"247,094","20,486","21,030","24,831","26,874","18,472","17,595","12,489","18,165","16,952","12,129","30,277","27,794",0,0
30 Veracruz de Ignacio de la Llave,Hombres,35-39 años,"251,277","21,514","21,624","25,221","27,063","18,280","17,672","12,652","17,972","16,855","12,209","32,007","28,208",0,0
30 Veracruz de Ignacio de la Llave,Hombres,40-44 años,"228,657","19,625","19,590","22,591","24,107","16,243","15,898","11,209","16,786","15,749","11,456","29,241","26,162",0,0
30 Veracruz de Ignacio de la Llave,Hombres,45-49 años,"201,515","17,446","17,102","19,972","21,022","14,215","13,779","9,642","14,766","13,974","9,968","26,496","23,133",0,0
30 Veracruz de Ignacio de la Llave,Hombres,50-54 años,"172,802","15,236","14,449","16,809","17,130","11,830","11,630","7,827","12,925","12,096","8,502","23,523","20,845",0,0
30 Veracruz de Ignacio de la Llave,Hombres,55-59 años,"142,619","13,408","12,766","14,710","14,729","9,717","9,382","6,241","10,191","9,410","6,851","18,598","16,616",0,0
30 Veracruz de Ignacio de la Llave,Hombres,60-64 años,"114,048","11,718","10,631","12,217","11,993","7,518","7,015","4,722","8,077","7,502","5,379","14,616","12,660",0,0
30 Veracruz de Ignacio de la Llave,Hombres,65-69 años,"87,365","9,682","9,051","10,235","9,688","5,887","5,349","3,512","5,849","5,378","3,874","10,265","8,595",0,0
30 Veracruz de Ignacio de la Llave,Hombres,70-74 años,"72,547","8,493","7,900","8,559","8,304","5,175","4,412","2,985","4,694","4,344","3,111","8,297","6,273",0,0
30 Veracruz de Ignacio de la Llave,Hombres,75-79 años,"46,658","5,323","4,877","5,495","5,076","3,301","3,050","1,967","3,059","2,908","2,015","5,353","4,234",0,0
30 Veracruz de Ignacio de la Llave,Hombres,80-84 años,"28,294","3,170","2,836","3,241","3,117","2,015","1,779","1,131","1,808","1,881","1,197","3,360","2,759",0,0
30 Veracruz de Ignacio de la Llave,Hombres,85-89 años,"15,779","1,895","1,668","1,803","1,851","1,142",980,635,"1,006",964,653,"1,785","1,397",0,0
30 Veracruz de Ignacio de la Llave,Hombres,90-94 años,"5,571",689,655,680,690,401,318,200,343,348,219,558,470,0,0
30 Veracruz de Ignacio de la Llave,Hombres,95-99 años,"2,503",321,310,358,317,214,121,92,149,153,102,205,161,0,0
30 Veracruz de Ignacio de la Llave,Hombres,100 años y más,890,137,133,134,136,67,47,25,59,49,24,43,36,0,0
30 Veracruz de Ignacio de la Llave,Hombres,No especificado,"47,396",799,614,"1,262","1,375","1,457","2,728","1,761","3,657","3,015","3,270","9,446","18,012",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,Total,"3,947,515","332,349","345,454","405,160","415,528","286,241","275,117","193,478","285,837","274,509","191,601","487,741","454,500",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,00-04 años,"326,389","30,525","32,410","37,132","37,450","25,863","23,674","17,072","22,910","21,882","14,636","33,484","29,351",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,05-09 años,"358,992","34,645","37,227","42,608","42,178","27,774","25,052","17,962","24,249","23,687","15,570","35,634","32,406",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,10-14 años,"364,602","36,355","39,031","43,720","42,862","27,801","25,400","17,727","24,433","23,951","15,459","35,721","32,142",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,15-19 años,"378,037","35,340","37,522","43,297","42,969","28,200","26,761","18,424","25,881","25,251","17,123","39,744","37,525",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,20-24 años,"334,531","26,681","27,642","32,905","35,043","24,962","24,139","17,085","24,450","23,659","16,337","41,773","39,855",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,25-29 años,"298,609","22,702","23,808","28,241","30,657","22,422","21,527","15,883","22,953","21,493","14,898","39,036","34,989",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,30-34 años,"292,591","22,446","23,515","28,402","30,574","21,663","21,320","15,274","22,264","21,087","14,778","37,559","33,709",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,35-39 años,"291,477","22,168","22,930","27,880","29,556","21,018","20,911","14,744","22,023","20,928","14,997","39,155","35,167",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,40-44 años,"258,153","19,229","20,076","24,212","25,459","18,064","18,294","12,968","19,762","18,832","13,583","35,029","32,645",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,45-49 años,"223,330","17,075","17,307","20,516","21,618","15,557","15,477","10,789","16,980","16,118","11,670","31,380","28,843",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,50-54 años,"192,789","14,754","14,665","17,407","17,880","12,938","12,964","9,088","14,646","14,128","10,008","27,997","26,314",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,55-59 años,"155,552","12,574","12,407","14,966","15,158","10,238","10,199","6,828","11,409","11,012","8,051","22,178","20,532",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,60-64 años,"125,650","10,577","10,427","12,055","12,189","8,120","7,707","5,327","9,148","9,005","6,501","18,091","16,503",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,65-69 años,"96,471","8,629","8,490","9,979","9,794","6,431","6,028","4,109","6,806","6,513","4,890","13,263","11,539",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,70-74 años,"82,799","7,515","7,354","8,662","8,714","5,645","5,336","3,545","5,963","5,659","3,865","11,072","9,469",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,75-79 años,"53,461","4,736","4,564","5,309","5,387","3,569","3,413","2,222","3,671","3,710","2,607","7,506","6,767",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,80-84 años,"34,333","2,784","2,735","3,217","3,295","2,275","2,136","1,411","2,439","2,354","1,784","5,209","4,694",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,85-89 años,"19,786","1,691","1,645","2,025","1,929","1,322","1,239",796,"1,402","1,415",946,"2,801","2,575",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,90-94 años,"7,642",641,643,744,790,517,496,286,491,500,404,"1,096","1,034",0,0
30 Veracruz de Ignacio de la Llave,Mujeres,95-99 años,"3,464",325,302,384,419,273,235,134,250,213,159,418,352,0,0
30 Veracruz de Ignacio de la Llave,Mujeres,100 años y más,"1,296",175,158,197,192,83,68,34,59,77,55,126,72,0,0
30 Veracruz de Ignacio de la Llave,Mujeres,No especificado,"47,561",782,596,"1,302","1,415","1,506","2,741","1,770","3,648","3,035","3,280","9,469","18,017",0,0
31 Yucatán,Total,Total,"1,955,577","36,055","40,363","70,606","165,797","200,996","165,534","82,638","133,013","205,720","77,240",0,0,"777,615",0
31 Yucatán,Total,00-04 años,"170,727","3,690","4,032","7,154","16,406","18,878","15,211","8,283","13,047","18,902","8,811",0,0,"56,313",0
31 Yucatán,Total,05-09 años,"181,587","3,750","4,404","7,373","17,140","20,077","16,256","8,857","13,227","19,912","8,278",0,0,"62,313",0
31 Yucatán,Total,10-14 años,"182,604","3,873","4,511","7,303","17,178","20,285","16,495","8,510","13,343","19,882","7,201",0,0,"64,023",0
31 Yucatán,Total,15-19 años,"192,027","3,870","4,505","7,692","17,316","20,970","16,705","8,547","13,738","21,145","6,778",0,0,"70,761",0
31 Yucatán,Total,20-24 años,"183,322","3,218","3,716","6,706","15,306","18,517","15,224","7,542","12,617","19,690","7,576",0,0,"73,210",0
31 Yucatán,Total,25-29 años,"160,355","2,704","3,152","5,754","13,418","15,973","13,374","6,670","10,739","16,965","8,110",0,0,"63,496",0
31 Yucatán,Total,30-34 años,"151,440","2,435","3,016","5,510","12,544","15,230","12,806","6,289","9,998","16,222","7,404",0,0,"59,986",0
31 Yucatán,Total,35-39 años,"145,205","2,140","2,521","4,809","10,894","13,951","12,000","5,725","9,110","14,966","6,281",0,0,"62,808",0
31 Yucatán,Total,40-44 años,"116,699","1,763","1,974","3,526","8,456","10,621","8,905","4,433","7,125","12,021","4,158",0,0,"53,717",0
31 Yucatán,Total,45-49 años,"101,202","1,613","1,694","3,199","7,642","9,151","7,820","3,683","6,052","10,421","3,277",0,0,"46,650",0
31 Yucatán,Total,50-54 años,"87,918","1,562","1,524","2,753","6,722","8,105","7,010","3,308","5,531","8,934","2,695",0,0,"39,774",0
31 Yucatán,Total,55-59 años,"73,419","1,388","1,469","2,419","6,101","7,497","6,098","2,870","4,712","7,060","1,982",0,0,"31,823",0
31 Yucatán,Total,60-64 años,"61,572","1,176","1,139","1,955","4,828","6,212","5,167","2,383","3,933","6,026","1,373",0,0,"27,380",0
31 Yucatán,Total,65-69 años,"44,092",886,817,"1,355","3,617","4,767","3,811","1,785","2,971","4,103",818,0,0,"19,162",0
31 Yucatán,Total,70-74 años,"35,779",787,732,"1,243","3,138","4,041","3,244","1,471","2,592","3,435",518,0,0,"14,578",0
31 Yucatán,Total,75-79 años,"24,558",518,524,800,"2,176","2,961","2,247",964,"1,684","2,443",337,0,0,"9,904",0
31 Yucatán,Total,80-84 años,"15,627",286,310,491,"1,376","1,702","1,394",639,"1,109","1,545",209,0,0,"6,566",0
31 Yucatán,Total,85-89 años,"9,540",174,174,311,845,"1,101",827,405,690,932,120,0,0,"3,961",0
31 Yucatán,Total,90-94 años,"3,815",58,71,104,287,411,326,127,282,384,41,0,0,"1,724",0
31 Yucatán,Total,95-99 años,"1,289",22,21,35,115,138,126,50,112,116,11,0,0,543,0
31 Yucatán,Total,100 años y más,202,4,1,5,13,21,20,10,13,23,1,0,0,91,0
31 Yucatán,Total,No especificado,"12,598",138,56,109,279,387,468,87,388,593,"1,261",0,0,"8,832",0
31 Yucatán,Hombres,Total,"963,333","18,958","20,676","35,632","83,700","100,810","83,283","41,102","65,075","101,210","38,345",0,0,"374,542",0
31 Yucatán,Hombres,00-04 años,"86,219","1,860","2,059","3,511","8,295","9,487","7,737","4,197","6,524","9,553","4,427",0,0,"28,569",0
31 Yucatán,Hombres,05-09 años,"91,892","1,945","2,234","3,738","8,615","10,227","8,184","4,543","6,616","10,133","4,193",0,0,"31,464",0
31 Yucatán,Hombres,10-14 años,"92,921","1,975","2,340","3,675","8,722","10,325","8,351","4,344","6,738","10,204","3,646",0,0,"32,601",0
31 Yucatán,Hombres,15-19 años,"96,613","1,985","2,287","3,835","8,688","10,604","8,480","4,271","6,955","10,635","3,383",0,0,"35,490",0
31 Yucatán,Hombres,20-24 años,"91,013","1,672","1,821","3,339","7,639","9,192","7,622","3,773","6,075","9,699","3,730",0,0,"36,451",0
31 Yucatán,Hombres,25-29 años,"78,443","1,359","1,570","2,910","6,640","7,890","6,641","3,225","4,986","8,149","3,964",0,0,"31,109",0
31 Yucatán,Hombres,30-34 años,"73,129","1,218","1,505","2,709","6,176","7,393","6,333","3,061","4,660","7,817","3,678",0,0,"28,579",0
31 Yucatán,Hombres,35-39 años,"69,998","1,114","1,313","2,433","5,450","6,888","5,929","2,722","4,407","7,193","3,202",0,0,"29,347",0
31 Yucatán,Hombres,40-44 años,"56,265",913,"1,000","1,789","4,194","5,201","4,472","2,148","3,427","5,780","2,038",0,0,"25,303",0
31 Yucatán,Hombres,45-49 años,"48,528",839,881,"1,583","3,802","4,458","3,856","1,805","2,853","4,996","1,532",0,0,"21,923",0
31 Yucatán,Hombres,50-54 años,"41,814",877,781,"1,377","3,378","3,980","3,364","1,596","2,617","4,211","1,296",0,0,"18,337",0
31 Yucatán,Hombres,55-59 años,"35,354",768,777,"1,285","3,168","3,718","3,080","1,416","2,247","3,387",938,0,0,"14,570",0
31 Yucatán,Hombres,60-64 años,"29,647",672,616,"1,037","2,473","3,158","2,592","1,183","1,939","2,927",670,0,0,"12,380",0
31 Yucatán,Hombres,65-69 años,"21,271",560,421,691,"1,921","2,459","1,974",871,"1,488","1,960",403,0,0,"8,523",0
31 Yucatán,Hombres,70-74 años,"17,334",453,411,669,"1,719","2,088","1,669",753,"1,281","1,645",261,0,0,"6,385",0
31 Yucatán,Hombres,75-79 años,"12,071",335,292,456,"1,178","1,643","1,250",494,886,"1,195",164,0,0,"4,178",0
31 Yucatán,Hombres,80-84 años,"7,491",185,181,286,780,932,743,348,605,736,102,0,0,"2,593",0
31 Yucatán,Hombres,85-89 años,"4,618",108,105,171,481,655,484,215,374,455,63,0,0,"1,507",0
31 Yucatán,Hombres,90-94 años,"1,743",34,40,59,168,229,202,69,146,173,20,0,0,603,0
31 Yucatán,Hombres,95-99 años,586,14,12,22,70,79,73,23,53,48,7,0,0,185,0
31 Yucatán,Hombres,100 años y más,88,3,1,2,6,12,12,5,7,12,0,0,0,28,0
31 Yucatán,Hombres,No especificado,"6,295",69,29,55,137,192,235,40,191,302,628,0,0,"4,417",0
31 Yucatán,Mujeres,Total,"992,244","17,097","19,687","34,974","82,097","100,186","82,251","41,536","67,938","104,510","38,895",0,0,"403,073",0
31 Yucatán,Mujeres,00-04 años,"84,508","1,830","1,973","3,643","8,111","9,391","7,474","4,086","6,523","9,349","4,384",0,0,"27,744",0
31 Yucatán,Mujeres,05-09 años,"89,695","1,805","2,170","3,635","8,525","9,850","8,072","4,314","6,611","9,779","4,085",0,0,"30,849",0
31 Yucatán,Mujeres,10-14 años,"89,683","1,898","2,171","3,628","8,456","9,960","8,144","4,166","6,605","9,678","3,555",0,0,"31,422",0
31 Yucatán,Mujeres,15-19 años,"95,414","1,885","2,218","3,857","8,628","10,366","8,225","4,276","6,783","10,510","3,395",0,0,"35,271",0
31 Yucatán,Mujeres,20-24 años,"92,309","1,546","1,895","3,367","7,667","9,325","7,602","3,769","6,542","9,991","3,846",0,0,"36,759",0
31 Yucatán,Mujeres,25-29 años,"81,912","1,345","1,582","2,844","6,778","8,083","6,733","3,445","5,753","8,816","4,146",0,0,"32,387",0
31 Yucatán,Mujeres,30-34 años,"78,311","1,217","1,511","2,801","6,368","7,837","6,473","3,228","5,338","8,405","3,726",0,0,"31,407",0
31 Yucatán,Mujeres,35-39 años,"75,207","1,026","1,208","2,376","5,444","7,063","6,071","3,003","4,703","7,773","3,079",0,0,"33,461",0
31 Yucatán,Mujeres,40-44 años,"60,434",850,974,"1,737","4,262","5,420","4,433","2,285","3,698","6,241","2,120",0,0,"28,414",0
31 Yucatán,Mujeres,45-49 años,"52,674",774,813,"1,616","3,840","4,693","3,964","1,878","3,199","5,425","1,745",0,0,"24,727",0
31 Yucatán,Mujeres,50-54 años,"46,104",685,743,"1,376","3,344","4,125","3,646","1,712","2,914","4,723","1,399",0,0,"21,437",0
31 Yucatán,Mujeres,55-59 años,"38,065",620,692,"1,134","2,933","3,779","3,018","1,454","2,465","3,673","1,044",0,0,"17,253",0
31 Yucatán,Mujeres,60-64 años,"31,925",504,523,918,"2,355","3,054","2,575","1,200","1,994","3,099",703,0,0,"15,000",0
31 Yucatán,Mujeres,65-69 años,"22,821",326,396,664,"1,696","2,308","1,837",914,"1,483","2,143",415,0,0,"10,639",0
31 Yucatán,Mujeres,70-74 años,"18,445",334,321,574,"1,419","1,953","1,575",718,"1,311","1,790",257,0,0,"8,193",0
31 Yucatán,Mujeres,75-79 años,"12,487",183,232,344,998,"1,318",997,470,798,"1,248",173,0,0,"5,726",0
31 Yucatán,Mujeres,80-84 años,"8,136",101,129,205,596,770,651,291,504,809,107,0,0,"3,973",0
31 Yucatán,Mujeres,85-89 años,"4,922",66,69,140,364,446,343,190,316,477,57,0,0,"2,454",0
31 Yucatán,Mujeres,90-94 años,"2,072",24,31,45,119,182,124,58,136,211,21,0,0,"1,121",0
31 Yucatán,Mujeres,95-99 años,703,8,9,13,45,59,53,27,59,68,4,0,0,358,0
31 Yucatán,Mujeres,100 años y más,114,1,0,3,7,9,8,5,6,11,1,0,0,63,0
31 Yucatán,Mujeres,No especificado,"6,303",69,27,54,142,195,233,47,197,291,633,0,0,"4,415",0
32 Zacatecas,Total,Total,"1,490,668","148,121","109,009","148,930","198,010","114,214","106,916","66,959","115,202","108,729",0,"374,578",0,0,0
32 Zacatecas,Total,00-04 años,"152,037","14,528","11,409","15,867","21,458","12,208","11,064","7,056","12,029","10,747",0,"35,671",0,0,0
32 Zacatecas,Total,05-09 años,"151,780","14,223","11,295","15,628","21,067","12,196","11,053","7,003","12,050","10,932",0,"36,333",0,0,0
32 Zacatecas,Total,10-14 años,"152,154","15,026","11,374","16,034","21,133","12,142","10,981","7,040","11,967","11,079",0,"35,378",0,0,0
32 Zacatecas,Total,15-19 años,"150,499","15,258","11,435","15,567","20,498","11,964","10,833","6,900","12,005","10,726",0,"35,313",0,0,0
32 Zacatecas,Total,20-24 años,"131,079","11,996","9,145","12,445","16,927","9,867","9,351","5,838","10,291","9,700",0,"35,519",0,0,0
32 Zacatecas,Total,25-29 años,"107,817","9,215","7,161","10,158","13,611","8,016","7,714","4,648","8,476","7,928",0,"30,890",0,0,0
32 Zacatecas,Total,30-34 años,"105,427","9,074","7,225","9,939","13,676","8,239","7,536","4,490","8,191","7,854",0,"29,203",0,0,0
32 Zacatecas,Total,35-39 años,"101,327","8,715","6,685","9,514","13,111","7,747","7,253","4,255","7,935","7,735",0,"28,377",0,0,0
32 Zacatecas,Total,40-44 años,"88,979","7,828","6,109","8,253","11,048","6,810","6,645","3,978","6,958","6,721",0,"24,629",0,0,0
32 Zacatecas,Total,45-49 años,"74,010","6,930","4,936","6,966","9,035","5,561","5,459","3,282","5,699","5,659",0,"20,483",0,0,0
32 Zacatecas,Total,50-54 años,"62,448","6,150","4,389","5,774","7,675","4,440","4,560","2,859","4,848","4,566",0,"17,187",0,0,0
32 Zacatecas,Total,55-59 años,"47,741","5,581","3,487","4,903","6,226","3,473","3,350","2,125","3,486","3,289",0,"11,821",0,0,0
